"id","artist","artist_wikilink","birthplace","birth_osm","residence","res_osm","birthyear","band"
"2003_1_8","Pernilla Wahlgren & Jan Johansen","sv.wikipedia.org/wiki/Pernilla_Wahlgren & sv.wikipedia.org/wiki/Jan_Johansen",,,,,,"0"
"2003_2_1","Andrés Esteche","sv.wikipedia.org/wiki/Andr%C3%A9s_Esteche",,,,,,"0"
"2003_2_2","Sanna Nielsen","sv.wikipedia.org/wiki/Sanna_Nielsen",,,,,,"0"
"2003_2_3","Kerli & Locatellies",,,,,,,"0"
"2003_2_4","Pandora","sv.wikipedia.org/wiki/Pandora_(artist)",,,,,,"0"
"2003_2_6","Fame","sv.wikipedia.org/wiki/Fame_(musikgrupp)",,,,,,"0"
"2003_2_7","Aleena","sv.wikipedia.org/wiki/Aleena_Gibson",,,,,,"0"
"2003_2_8","Alcazar","sv.wikipedia.org/wiki/Alcazar_(musikgrupp)",,,,,,"0"
"2003_3_2","Shanna Smith",,,,,,,"0"
"2003_3_3","Nanne Grönvall","sv.wikipedia.org/wiki/Nanne_Gr%C3%B6nvall",,,,,,"0"
"2003_3_4","Sarek","sv.wikipedia.org/wiki/Sarek_(musikgrupp)",,,,,,"0"
"2003_3_5","Sofia Källgren & Robert Wells","sv.wikipedia.org/wiki/Sofia_K%C3%A4llgren & sv.wikipedia.org/wiki/Robert_Wells",,,,,,"0"
"2003_3_6","Liverpool","sv.wikipedia.org/wiki/Liverpool_(musikgrupp)",,,,,,"0"
"2003_3_7","Shirley Clamp","sv.wikipedia.org/wiki/Shirley_Clamp",,,,,,"0"
"2003_3_8","Style","sv.wikipedia.org/wiki/Style",,,,,,"0"
"2003_4_1","Sahlene","sv.wikipedia.org/wiki/Anna_Sahlin",,,,,,"0"
"2003_4_2","Fernando Brito",,,,,,,"0"
"2003_4_3","Bubbles","sv.wikipedia.org/wiki/Bless",,,,,,"0"
"2003_4_4","Maarja","sv.wikipedia.org/wiki/Maarja",,,,,,"0"
"2003_4_6","Lina Hedlund","sv.wikipedia.org/wiki/Lina_Hedlund",,,,,,"0"
"2003_4_7","Mikael Erlandsson",,,,,,,"0"
"2003_4_8","Afro-dite","sv.wikipedia.org/wiki/Afro-dite",,,,,,"0"
"2004_1_1","Nina & Kim","sv.wikipedia.org/wiki/Nina_%26_Kim",,,,,,"0"
"2004_1_2","Joachim Bergström",,,,,,,"0"
"2004_1_4","Karl Martindahl","sv.wikipedia.org/wiki/Karl_Martindahl",,,,,,"0"
"2004_1_5","LaGaylia Frazier","sv.wikipedia.org/wiki/LaGaylia_Frazier",,,,,,"0"
"2004_1_6","Sara Löfgren","sv.wikipedia.org/wiki/Sara_L%C3%B6fgren",,,,,,"0"
"2004_1_8","Petra Nielsen","sv.wikipedia.org/wiki/Petra_Nielsen",,,,,,"0"
"2004_2_1","Fredrik Kempe","sv.wikipedia.org/wiki/Fredrik_Kempe",,,,,,"0"
"2004_2_2","Baccara","sv.wikipedia.org/wiki/Baccara",,,,,,"0"
"2004_2_4","Jennifer Escola",,,,,,,"0"
"2004_2_5","Pay TV","sv.wikipedia.org/wiki/Pay_TV",,,,,,"0"
"2004_2_6","Anne-Lie Rydé","sv.wikipedia.org/wiki/Anne-Lie_Ryd%C3%A9",,,,,,"0"
"2004_2_7","LaRoxx","sv.wikipedia.org/wiki/LaRoxx",,,,,,"0"
"2004_2_8","E-Type","sv.wikipedia.org/wiki/E-Type",,,,,,"0"
"2004_3_2","Emil Sigfridsson","sv.wikipedia.org/wiki/Emil_Sigfridsson",,,,,,"0"
"2004_3_3","Gladys del Pilar","sv.wikipedia.org/wiki/Gladys_del_Pilar",,,,,,"0"
"2004_3_4","Sandra Dahlberg","sv.wikipedia.org/wiki/Sandra_Dahlberg",,,,,,"0"
"2004_3_5","Itchycoo","sv.wikipedia.org/wiki/Itchycoo",,,,,,"0"
"2004_3_6","Hanson & Carson & Malmkvist","sv.wikipedia.org/wiki/Ann-Louise_Hanson & sv.wikipedia.org/wiki/Towa_Carson & sv.wikipedia.org/wiki/Siw_Malmkvist",,,,,,"0"
"2004_3_7","Autolove",,,,,,,"0"
"2004_3_8","Bosson","sv.wikipedia.org/wiki/Bosson",,,,,,"0"
"2004_4_1","Lena Philipsson","sv.wikipedia.org/wiki/Lena_Philipsson",,,,,,"0"
"2004_4_2","Anders Borgius",,,,,,,"0"
"2004_4_3","Lotta Nilsson & Glenn Borgkvist","sv.wikipedia.org/wiki/Lotta_Nilsson & sv.wikipedia.org/wiki/Glenn_Borgkvist",,,,,,"0"
"2004_4_4","After Dark","sv.wikipedia.org/wiki/After_Dark",,,,,,"0"
"2004_4_6","Fre","sv.wikipedia.org/wiki/Fre",,,,,,"0"
"2005_1_2","Cecilia Vennersten","sv.wikipedia.org/wiki/Cecilia_Vennersten",,,,,,"0"
"2005_1_3","Papa Dee","sv.wikipedia.org/wiki/Papa_Dee",,,,,,"0"
"2005_1_4","Linda Bengtzing","sv.wikipedia.org/wiki/Linda_Bengtzing",,,,,,"0"
"2005_1_5","The Wallstones","sv.wikipedia.org/wiki/The_Wallstones",,,,,,"0"
"2005_1_7","Nordman","sv.wikipedia.org/wiki/Nordman_(musikgrupp)",,,,,,"0"
"2005_2_1","Fredrik Kempe & Sanna Nielsen","sv.wikipedia.org/wiki/Fredrik_Kempe & sv.wikipedia.org/wiki/Sanna_Nielsen",,,,,,"0"
"2005_2_2","Camilla Brinck","sv.wikipedia.org/wiki/Camilla_Brinck",,,,,,"0"
"2005_2_3","Group Avalon","sv.wikipedia.org/wiki/Group_Avalon",,,,,,"0"
"2005_2_4","Arja Saijonmaa","sv.wikipedia.org/wiki/Arja_Saijonmaa",,,,,,"0"
"2005_2_5","Josefin Nilsson","sv.wikipedia.org/wiki/Josefin_Nilsson",,,,,,"0"
"2005_2_6","Cameron Cartio","sv.wikipedia.org/wiki/Cameron_Cartio",,,,,,"0"
"2005_2_7","Bodies Without Organs","sv.wikipedia.org/wiki/Bodies_Without_Organs",,,,,,"0"
"2005_2_8","Sanne Salomonsen","sv.wikipedia.org/wiki/Sanne_Salomonsen",,,,,,"0"
"2005_3_1","NaNa","sv.wikipedia.org/wiki/Nana_Hedin",,,,,,"0"
"2005_3_2","Kwanzaa",,,,,,,"0"
"2005_3_3","Jimmy Jansson","sv.wikipedia.org/wiki/Jimmy_Jansson",,,,,,"0"
"2005_3_4","LaGaylia","sv.wikipedia.org/wiki/LaGaylia_Frazer",,,,,,"0"
"2005_3_5","Josef","sv.wikipedia.org/wiki/Josef_%C3%96zer",,,,,,"0"
"2005_3_6","K2 & Alannah Myles","sv.wikipedia.org/wiki/K2_(svensk_h%C3%A5rdrockgrupp) & sv.wikipedia.org/wiki/Alannah_Myles",,,,,,"0"
"2005_3_7","Jessica Folcker","sv.wikipedia.org/wiki/Jessica_Folcker",,,,,,"0"
"2005_3_8","Martin Stenmarck","sv.wikipedia.org/wiki/Martin_Stenmarck",,,,,,"0"
"2005_4_2","B-Boys International & Paul M",,,,,,,"0"
"2005_4_3","Mathias Holmgren","sv.wikipedia.org/wiki/Mathias_Holmgren",,,,,,"0"
"2005_4_4","Rickard Engfors & Katarina Fallholm","sv.wikipedia.org/wiki/Rickard_Engfors & sv.wikipedia.org/wiki/Katarina_Fallholm",,,,,,"0"
"2005_4_7","Caroline Wennergren","sv.wikipedia.org/wiki/Caroline_Wennergren",,,,,,"0"
"2005_4_8","Katrina & The Nameless","sv.wikipedia.org/wiki/Katrina_%26_The_Nameless",,,,,,"0"
"2006_1_1","Simone Moreno","sv.wikipedia.org/wiki/Simone_Moreno",,,,,,"0"
"2006_1_2","Electric Banana Band","sv.wikipedia.org/wiki/Electric_Banana_Band",,,,,,"0"
"2006_1_3","Anna Sahlene","sv.wikipedia.org/wiki/Anna_Sahlene",,,,,,"0"
"2006_1_4","Magnus Bäcklund","sv.wikipedia.org/wiki/Magnus_B%C3%A4cklund",,,,,,"0"
"2006_1_6","Pandang","sv.wikipedia.org/wiki/Pandang",,,,,,"0"
"2006_1_7","Hannah Graaf","sv.wikipedia.org/wiki/Hannah_Graaf",,,,,,"0"
"2006_1_8","Andreas Johnson","sv.wikipedia.org/wiki/Andreas_Johnson",,,,,,"0"
"2006_2_1","Magnus Carlsson","sv.wikipedia.org/wiki/Magnus_Carlsson_(s%C3%A5ngare)",,,,,,"0"
"2006_2_2","The Elephantz","sv.wikipedia.org/wiki/The_Elephantz",,,,,,"0"
"2006_2_3","Sonya (Sonja Aldén)","sv.wikipedia.org/wiki/Sonja_Ald%C3%A9n",,,,,,"0"
"2006_2_4","Östen Med Resten","sv.wikipedia.org/wiki/%C3%96sten_Med_Resten",,,,,,"0"
"2006_2_5","Pablo Cepeda","sv.wikipedia.org/wiki/Pablo_Cepeda",,,,,,"0"
"2006_2_6","Kikki Danielsson","sv.wikipedia.org/wiki/Kikki_Danielsson",,,,,,"0"
"2006_2_7","Niclas Wahlgren","sv.wikipedia.org/wiki/Niclas_Wahlgren",,,,,,"0"
"2006_2_8","Velvet","sv.wikipedia.org/wiki/Velvet_(artist)",,,,,,"0"
"2006_3_1","BWO","sv.wikipedia.org/wiki/BWO",,,,,,"0"
"2006_3_3","Gregor",,,,,,,"0"
"2006_3_4","Jessica Andersson","sv.wikipedia.org/wiki/Jessica_Andersson",,,,,,"0"
"2006_3_5","The Poodles","sv.wikipedia.org/wiki/The_Poodles",,,,,,"0"
"2006_3_6","Elysion","sv.wikipedia.org/wiki/Elysion_(musikduo)",,,,,,"0"
"2006_3_7","Patrik Isaksson","sv.wikipedia.org/wiki/Patrik_Isaksson",,,,,,"0"
"2006_3_8","Kayo","sv.wikipedia.org/wiki/Kayo",,,,,,"0"
"2006_4_1","Roger Pontare","sv.wikipedia.org/wiki/Roger_Pontare",,,,,,"0"
"2006_4_2","Laila Adéle","sv.wikipedia.org/wiki/Laila_Ad%C3%A9le",,,,,,"0"
"2006_4_3","Günther & The & 
Sunshine Girls","sv.wikipedia.org/wiki/G%C3%BCnther_%26_The_Sunshine_Girls",,,,,,"0"
"2006_4_5","Evan","sv.wikipedia.org/wiki/Evan",,,,,,"0"
"2006_4_6","Rednex","sv.wikipedia.org/wiki/Rednex",,,,,,"0"
"2006_4_7","Björn Kjellman","sv.wikipedia.org/wiki/Bj%C3%B6rn_Kjellman",,,,,,"0"
"2006_4_8","Carola","sv.wikipedia.org/wiki/Carola_H%C3%A4ggkvist",,,,,,"0"
"2007_1_1","Elin Lanto","sv.wikipedia.org/wiki/Elin_Lanto",,,,,,"0"
"2007_1_2","Andersson & Gibson","sv.wikipedia.org/wiki/Stefan_Andersson_(s%C3%A5ngare) & sv.wikipedia.org/wiki/Aleena_Gibson",,,,,,"0"
"2007_1_3","Anna Book","sv.wikipedia.org/wiki/Anna_Book",,,,,,"0"
"2007_1_4","Addis Black Widow","sv.wikipedia.org/wiki/Addis_Black_Widow",,,,,,"0"
"2007_1_5","Andreas Lundstedt","sv.wikipedia.org/wiki/Andreas_Lundstedt",,,,,,"0"
"2007_1_6","Tommy Nilsson","sv.wikipedia.org/wiki/Tommy_Nilsson",,,,,,"0"
"2007_1_7","Sofia","sv.wikipedia.org/wiki/Sofia_Berntson",,,,,,"0"
"2007_1_8","Uno & Irma","sv.wikipedia.org/wiki/Uno_Svenningsson & sv.wikipedia.org/wiki/Irma_Schultz_Keller",,,,,,"0"
"2007_2_1","Regina Lund","sv.wikipedia.org/wiki/Regina_Lund",,,,,,"0"
"2007_2_2","Marie Lindberg","sv.wikipedia.org/wiki/Marie_Lindberg",,,,,,"0"
"2007_2_4","Cosmo4","sv.wikipedia.org/wiki/Cosmo_4",,,,,,"0"
"2007_2_5","Lustans Lakejer","sv.wikipedia.org/wiki/Lustans_Lakejer",,,,,,"0"
"2007_2_7","Svante Thuresson & Anne-Lie Rydé","sv.wikipedia.org/wiki/Svante_Thuresson & sv.wikipedia.org/wiki/Anne-Lie_Ryd%C3%A9",,,,,,"0"
"2007_2_8","The Ark","sv.wikipedia.org/wiki/The_Ark",,,,,,"0"
"2007_3_1","Måns Zelmerlöw","sv.wikipedia.org/wiki/M%C3%A5ns_Zelmerl%C3%B6w",,,,,,"0"
"2007_3_2","MissMatch","sv.wikipedia.org/wiki/MissMatch",,,,,,"0"
"2007_3_4","Sheida",,,,,,,"0"
"2007_3_5","The Attic & Therese","sv.wikipedia.org/wiki/The_Attic & sv.wikipedia.org/wiki/Therese_Grankvist",,,,,,"0"
"2007_3_6","Sebastian","sv.wikipedia.org/wiki/Sebastian_Karlsson_(s%C3%A5ngare)",,,,,,"0"
"2007_3_7","Sonja Aldén","sv.wikipedia.org/wiki/Sonja_Ald%C3%A9n",,,,,,"0"
"2007_3_8","Nanne","sv.wikipedia.org/wiki/Nanne_Gr%C3%B6nvall",,,,,,"0"
"2007_4_1","Magnus Uggla","sv.wikipedia.org/wiki/Magnus_Uggla",,,,,,"0"
"2007_4_2","Emilè Azar","sv.wikipedia.org/wiki/Emil%C3%A8_Azar",,,,,,"0"
"2007_4_4","Caroline af Ugglas","sv.wikipedia.org/wiki/Caroline_af_Ugglas",,,,,,"0"
"2007_4_6","Sarah Dawn Finer","sv.wikipedia.org/wiki/Sarah_Dawn_Finer",,,,,,"0"
"2007_4_7","Verona",,,,,,,"0"
"2008_1_1","E-Type & The Poodles","sv.wikipedia.org/wiki/E-Type & sv.wikipedia.org/wiki/The_Poodles",,,,,,"0"
"2008_1_2","Face-84","sv.wikipedia.org/wiki/Face-84",,,,,,"0"
"2008_1_4","Brandur","sv.wikipedia.org/wiki/Brandur_Enni",,,,,,"0"
"2008_1_5","Michael Michailoff","sv.wikipedia.org/wiki/Michael_Michailoff","Gällivare","{\""place_id\"":\""215521\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""node\"",\""osm_id\"":\""38461549\"",\""boundingbox\"":[\""67.095243\"",\""67.175243\"",\""20.6204843\"",\""20.7004843\""],\""lat\"":\""67.135243\"",\""lon\"":\""20.6604843\"",\""display_name\"":\""Gällivare, Gällivare kommun, Norrbottens län, Norrland, Sweden\"",\""class\"":\""place\"",\""type\"":\""town\"",\""importance\"":0.58347350563102,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_place_town.p.20.png\""}","Huddinge","{\""place_id\"":\""127780588\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""relation\"",\""osm_id\"":\""398567\"",\""boundingbox\"":[\""59.1412579\"",\""59.287763\"",\""17.8635194\"",\""18.1829938\""],\""lat\"":\""59.21449265\"",\""lon\"":\""18.054960231749\"",\""display_name\"":\""Huddinge kommun, Landskapet Södermanland, Stockholms län, Svealand, Sweden\"",\""class\"":\""boundary\"",\""type\"":\""administrative\"",\""importance\"":0.51483498791006,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_boundary_administrative.p.20.png\""}","1979","0"
"2008_1_6","Amy Diamond","sv.wikipedia.org/wiki/Amy_Diamond","Norrköping","{\""place_id\"":\""145064\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""node\"",\""osm_id\"":\""27431648\"",\""boundingbox\"":[\""58.4309124\"",\""58.7509124\"",\""16.0303511\"",\""16.3503511\""],\""lat\"":\""58.5909124\"",\""lon\"":\""16.1903511\"",\""display_name\"":\""Norrköping, Norrköpings kommun, Östergötlands län, Landskapet Östergötland, Östergötlands län, Götaland, Sweden\"",\""class\"":\""place\"",\""type\"":\""city\"",\""importance\"":0.50359754255689,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_place_city.p.20.png\""}","Jönköping",,"1992","0"
"2008_1_7","Suzzie Tapper","sv.wikipedia.org/wiki/Suzzie_Tapper"," Sundbyberg","{\""place_id\"":\""127808919\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""relation\"",\""osm_id\"":\""398039\"",\""boundingbox\"":[\""59.3550306\"",\""59.4018238\"",\""17.9276523\"",\""17.9868669\""],\""lat\"":\""59.3786389\"",\""lon\"":\""17.9550788206838\"",\""display_name\"":\""Sundbybergs kommun, Stockholms län, Landskapet Uppland, Stockholms län, Svealand, Sweden\"",\""class\"":\""boundary\"",\""type\"":\""administrative\"",\""importance\"":0.49891172550086,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_boundary_administrative.p.20.png\""}","Södermalm","{\""place_id\"":\""127915535\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""relation\"",\""osm_id\"":\""2017432\"",\""boundingbox\"":[\""59.3031868\"",\""59.32156\"",\""18.0260682\"",\""18.1071724\""],\""lat\"":\""59.31255625\"",\""lon\"":\""18.0697499895673\"",\""display_name\"":\""Södermalm, Stockholm, Stockholms kommun, Landskapet Södermanland, Stockholms län, Svealand, Sweden\"",\""class\"":\""place\"",\""type\"":\""island\"",\""importance\"":0.5958857051307}","1957","0"
"2008_1_8","Christer Sjögren","sv.wikipedia.org/wiki/Christer_Sj%C3%B6gren"," Hagfors","{\""place_id\"":\""127819641\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""relation\"",\""osm_id\"":\""935638\"",\""boundingbox\"":[\""59.76725\"",\""60.4233624\"",\""13.1624921\"",\""14.0183175\""],\""lat\"":\""60.1104564\"",\""lon\"":\""13.630764452333\"",\""display_name\"":\""Hagfors kommun, Värmlands län, Svealand, Sweden\"",\""class\"":\""boundary\"",\""type\"":\""administrative\"",\""importance\"":0.41908579539046,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_boundary_administrative.p.20.png\""}","Hammarö","{\""place_id\"":\""127803099\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""relation\"",\""osm_id\"":\""1076755\"",\""boundingbox\"":[\""59.0587071\"",\""59.369967\"",\""13.36455\"",\""13.734636\""],\""lat\"":\""59.1931924\"",\""lon\"":\""13.5312085452292\"",\""display_name\"":\""Hammarö kommun, Värmlands län, Svealand, Sweden\"",\""class\"":\""boundary\"",\""type\"":\""administrative\"",\""importance\"":0.42976304828016,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_boundary_administrative.p.20.png\""}","1950","0"
"2008_2_1","Ola","sv.wikipedia.org/wiki/Ola_Svensson","-",,"-",,"-","0"
"2008_2_2","Lasse Lindh","sv.wikipedia.org/wiki/Lasse_Lindh"," Härnösand","{\""place_id\"":\""128075491\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""relation\"",\""osm_id\"":\""3437668\"",\""boundingbox\"":[\""62.6140547\"",\""62.6564199\"",\""17.8747261\"",\""17.9985207\""],\""lat\"":\""62.6323084\"",\""lon\"":\""17.9379914\"",\""display_name\"":\""Härnösand, Härnösands kommun, Västernorrlands län, Norrland, Sweden\"",\""class\"":\""boundary\"",\""type\"":\""administrative\"",\""importance\"":0.59825451909424,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_boundary_administrative.p.20.png\""}","Malmö","{\""place_id\"":\""138291\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""node\"",\""osm_id\"":\""26804505\"",\""boundingbox\"":[\""55.4452931\"",\""55.7652931\"",\""12.8401566\"",\""13.1601566\""],\""lat\"":\""55.6052931\"",\""lon\"":\""13.0001566\"",\""display_name\"":\""Malmö, Malmö kommun, Skåne län, Götaland, Sweden\"",\""class\"":\""place\"",\""type\"":\""city\"",\""importance\"":0.75124775731483,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_place_city.p.20.png\""}","1974","0"
"2008_2_3","The Nicole","sv.wikipedia.org/wiki/The_Nicole","Moskva, Ryssland","{\""place_id\"":\""127995524\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""relation\"",\""osm_id\"":\""2555133\"",\""boundingbox\"":[\""55.4913076\"",\""55.9576988\"",\""37.290502\"",\""37.9674277\""],\""lat\"":\""55.7516335\"",\""lon\"":\""37.6187042\"",\""display_name\"":\""Moscow, Central Administrative Okrug, Moscow, Central Federal District, Russian Federation\"",\""class\"":\""place\"",\""type\"":\""city\"",\""importance\"":0.81231629038453,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_place_city.p.20.png\""}","Stockholm",,"1984","0"
"2008_2_4","Alexander Schöld","sv.wikipedia.org/wiki/Alexander_Sch%C3%B6ld"," Järfälla","{\""place_id\"":\""127798934\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""relation\"",\""osm_id\"":\""398022\"",\""boundingbox\"":[\""59.3811526\"",\""59.5091628\"",\""17.7313009\"",\""17.8988647\""],\""lat\"":\""59.44472185\"",\""lon\"":\""17.8217964317625\"",\""display_name\"":\""Järfälla kommun, Stockholms län, Landskapet Uppland, Stockholms län, Svealand, Sweden\"",\""class\"":\""boundary\"",\""type\"":\""administrative\"",\""importance\"":0.47823650127624,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_boundary_administrative.p.20.png\""}","Sundbyberg","{\""place_id\"":\""127808919\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""relation\"",\""osm_id\"":\""398039\"",\""boundingbox\"":[\""59.3550306\"",\""59.4018238\"",\""17.9276523\"",\""17.9868669\""],\""lat\"":\""59.3786389\"",\""lon\"":\""17.9550788206838\"",\""display_name\"":\""Sundbybergs kommun, Stockholms län, Landskapet Uppland, Stockholms län, Svealand, Sweden\"",\""class\"":\""boundary\"",\""type\"":\""administrative\"",\""importance\"":0.49891172550086,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_boundary_administrative.p.20.png\""}","1986","0"
"2008_2_5","Rongedal","sv.wikipedia.org/wiki/Rongedal","Molkom","{\""place_id\"":\""155330\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""node\"",\""osm_id\"":\""29563324\"",\""boundingbox\"":[\""59.582235\"",\""59.622235\"",\""13.708668\"",\""13.748668\""],\""lat\"":\""59.602235\"",\""lon\"":\""13.728668\"",\""display_name\"":\""Molkom, Karlstads kommun, Värmlands län, Svealand, Sweden\"",\""class\"":\""place\"",\""type\"":\""village\"",\""importance\"":0.385,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_place_village.p.20.png\""}","Stockholm","{\""place_id\"":\""125949\"",\""licence\"":\""Data © OpenStreetMap contributors, ODbL 1.0. http://www.openstreetmap.org/copyright\"",\""osm_type\"":\""node\"",\""osm_id\"":\""25929985\"",\""boundingbox\"":[\""59.1651172\"",\""59.4851172\"",\""17.9110935\"",\""18.2310935\""],\""lat\"":\""59.3251172\"",\""lon\"":\""18.0710935\"",\""display_name\"":\""Stockholm, Stockholms kommun, Stockholms län, Landskapet Uppland, Stockholms län, Svealand, Sweden\"",\""class\"":\""place\"",\""type\"":\""city\"",\""importance\"":0.57740567145506,\""icon\"":\""http://nominatim.openstreetmap.org/images/mapicons/poi_place_city.p.20.png\""}","2004","1"
